fingerprint,line_count,file,directory,start_line,end_line
740fa9516d9286def425519bb9de9b92,4,templates/account/email/forgot.html,templates/account/email/,1,6
740fa9516d9286def425519bb9de9b92,4,templates/account/email/forgot-ia.html,templates/account/email/,1,6
0c581a20f9c77d1acd63f6f7a8b5aef9,4,templates/admin/people/view.html,templates/admin/people/,95,99
0c581a20f9c77d1acd63f6f7a8b5aef9,4,templates/admin/inspect/store.html,templates/admin/inspect/,33,37
04f72636736585d78ad1ee178d9ed8de,4,templates/account/email/forgot.html,templates/account/email/,35,38
04f72636736585d78ad1ee178d9ed8de,4,templates/account/email/forgot-ia.html,templates/account/email/,30,33
6fb63b0a04c72509b1ff686c82671813,4,templates/admin/people/index.html,templates/admin/people/,50,53
6fb63b0a04c72509b1ff686c82671813,4,templates/admin/people/index.html,templates/admin/people/,37,40
cc4bcc7945cf93f0a9011ccf08fc52b8,4,templates/tag/add.html,templates/tag/,35,39
cc4bcc7945cf93f0a9011ccf08fc52b8,4,templates/books/edit/web.html,templates/books/edit/,55,60
29787b59bab7fb662a452f7fb4007a4e,4,templates/type/edition/view.html,templates/type/edition/,318,321
29787b59bab7fb662a452f7fb4007a4e,4,templates/site/alert.html,templates/site/,18,21
29787b59bab7fb662a452f7fb4007a4e,4,templates/lists/home.html,templates/lists/,57,60
29787b59bab7fb662a452f7fb4007a4e,4,templates/home/stats.html,templates/home/,41,44
29787b59bab7fb662a452f7fb4007a4e,4,templates/home/categories.html,templates/home/,29,32
29787b59bab7fb662a452f7fb4007a4e,4,templates/covers/change.html,templates/covers/,55,58
29787b59bab7fb662a452f7fb4007a4e,4,templates/covers/book_cover_single_edition.html,templates/covers/,20,23
29787b59bab7fb662a452f7fb4007a4e,4,templates/covers/book_cover.html,templates/covers/,41,44
29787b59bab7fb662a452f7fb4007a4e,4,templates/covers/add.html,templates/covers/,45,48
29787b59bab7fb662a452f7fb4007a4e,4,templates/covers/add.html,templates/covers/,44,47
29787b59bab7fb662a452f7fb4007a4e,4,templates/admin/inspect/memcache.html,templates/admin/inspect/,39,43
29787b59bab7fb662a452f7fb4007a4e,4,macros/ShareModal.html,macros/,67,70
29787b59bab7fb662a452f7fb4007a4e,4,macros/ShareModal.html,macros/,66,69
29787b59bab7fb662a452f7fb4007a4e,4,macros/SRPCoverImage.html,macros/,25,28
29787b59bab7fb662a452f7fb4007a4e,4,macros/CoverImage.html,macros/,29,32
29787b59bab7fb662a452f7fb4007a4e,4,macros/BookPreview.html,macros/,26,29
cdcc9fed8951ad52e7ae0dcc351da6dc,4,templates/type/user/edit.html,templates/type/user/,25,30
cdcc9fed8951ad52e7ae0dcc351da6dc,4,templates/type/template/edit.html,templates/type/template/,18,23
cdcc9fed8951ad52e7ae0dcc351da6dc,4,templates/type/rawtext/edit.html,templates/type/rawtext/,18,23
cdcc9fed8951ad52e7ae0dcc351da6dc,4,templates/type/page/edit.html,templates/type/page/,19,24
cdcc9fed8951ad52e7ae0dcc351da6dc,4,templates/type/macro/edit.html,templates/type/macro/,20,25
55fe8366e12704180fa8c3b4e4e9d8fe,4,templates/swagger/swaggerui.html,templates/swagger/,33,36
55fe8366e12704180fa8c3b4e4e9d8fe,4,templates/site/footer.html,templates/site/,58,61
9ab6dfac973bc1d1520347877926bdbe,4,templates/lib/history.html,templates/lib/,62,65
9ab6dfac973bc1d1520347877926bdbe,4,macros/databarAuthor.html,macros/,66,70
9ab6dfac973bc1d1520347877926bdbe,4,macros/NotesModal.html,macros/,41,44
606d3cbaec17b92d2e169137ab18284b,4,templates/account/verify/success.html,templates/account/verify/,5,9
606d3cbaec17b92d2e169137ab18284b,4,templates/account/verify/activated.html,templates/account/verify/,5,9
1909a9f2730da43b2a6c1b9e17cfeea9,4,templates/type/i18n_page/edit.html,templates/type/i18n_page/,36,40
1909a9f2730da43b2a6c1b9e17cfeea9,4,templates/about/index.html,templates/about/,29,32
0f8bf49d14ce62da8c62204fe56ca0b2,4,templates/account/import.html,templates/account/,63,66
0f8bf49d14ce62da8c62204fe56ca0b2,4,templates/account/import.html,templates/account/,52,55
0f8bf49d14ce62da8c62204fe56ca0b2,4,templates/account/import.html,templates/account/,41,44
0f8bf49d14ce62da8c62204fe56ca0b2,4,templates/account/import.html,templates/account/,30,33
0f8bf49d14ce62da8c62204fe56ca0b2,4,templates/account/import.html,templates/account/,19,22
610c1dcc69c341d346ea6cd021992e0c,4,templates/type/i18n_page/edit.html,templates/type/i18n_page/,37,42
610c1dcc69c341d346ea6cd021992e0c,4,templates/covers/add.html,templates/covers/,75,79
b30b15d7ff32c8fa5cc6d53c712de0dc,4,templates/recentchanges/updated_records.html,templates/recentchanges/,27,30
b30b15d7ff32c8fa5cc6d53c712de0dc,4,templates/recentchanges/render.html,templates/recentchanges/,27,30
b30b15d7ff32c8fa5cc6d53c712de0dc,4,templates/admin/people/edits.html,templates/admin/people/,37,40
b30b15d7ff32c8fa5cc6d53c712de0dc,4,templates/admin/ip/view.html,templates/admin/ip/,40,43
b30b15d7ff32c8fa5cc6d53c712de0dc,4,macros/RecentChanges.html,macros/,14,17
57eee961c4d8d0847e3e1559a462d222,4,templates/type/tag/edit.html,templates/type/tag/,43,46
