fingerprint,line_count,file,directory,start_line,end_line
c7d45b235db7eee39a7a330947ed3b64,4,plugins/openlibrary/js/merge-request-table/MergeRequestTable/TableRow.js,plugins/openlibrary/js/merge-request-table/MergeRequestTable/,67,85
c7d45b235db7eee39a7a330947ed3b64,4,plugins/openlibrary/js/dropper/Dropper.js,plugins/openlibrary/js/dropper/,49,73
c7d45b235db7eee39a7a330947ed3b64,4,plugins/openlibrary/js/bulk-tagger/BulkTagger.js,plugins/openlibrary/js/bulk-tagger/,76,95
65c5784637515e788c041a6ebb61da92,4,plugins/openlibrary/js/my-books/MyBooksDropper/ReadingLogForms.js,plugins/openlibrary/js/my-books/MyBooksDropper/,257,262
65c5784637515e788c041a6ebb61da92,4,plugins/openlibrary/js/edition-nav-bar/EditionNavBar.js,plugins/openlibrary/js/edition-nav-bar/,123,127
ef6143488dcd9c600c34f224a366eca7,4,plugins/openlibrary/js/index.js,plugins/openlibrary/js/,52,59
ef6143488dcd9c600c34f224a366eca7,4,plugins/openlibrary/js/bulk-tagger/BulkTagger/MenuOption.js,plugins/openlibrary/js/bulk-tagger/BulkTagger/,56,82
cf15b1670b6088663c691c54e8f70aa6,4,plugins/openlibrary/js/readmore.js,plugins/openlibrary/js/,10,13
cf15b1670b6088663c691c54e8f70aa6,4,plugins/openlibrary/js/dropper/Dropper.js,plugins/openlibrary/js/dropper/,38,64
294c1c560cc3981529a7ebed94da78c8,4,plugins/openlibrary/js/check-ins/index.js,plugins/openlibrary/js/check-ins/,565,568
294c1c560cc3981529a7ebed94da78c8,4,plugins/openlibrary/js/check-ins/index.js,plugins/openlibrary/js/check-ins/,153,157
31a351c79933f377726be3f14637f00a,4,plugins/openlibrary/js/ile/index.js,plugins/openlibrary/js/ile/,9,14
31a351c79933f377726be3f14637f00a,4,plugins/openlibrary/js/add-book.js,plugins/openlibrary/js/,64,69
701d60c5f65d962785f7bc8e6f2d163b,4,plugins/openlibrary/js/add-book.js,plugins/openlibrary/js/,97,100
701d60c5f65d962785f7bc8e6f2d163b,4,plugins/openlibrary/js/add-book.js,plugins/openlibrary/js/,62,65
d5fa7ff1d8d4c38a3f64dd88a753ab97,4,plugins/openlibrary/js/readmore.js,plugins/openlibrary/js/,8,12
d5fa7ff1d8d4c38a3f64dd88a753ab97,4,plugins/openlibrary/js/edition-nav-bar/EditionNavBar.js,plugins/openlibrary/js/edition-nav-bar/,11,26
7c0bfc08f29b7124434aa5d2b749e5a4,4,plugins/openlibrary/js/ol.js,plugins/openlibrary/js/,25,30
7c0bfc08f29b7124434aa5d2b749e5a4,4,plugins/openlibrary/js/graphs/index.js,plugins/openlibrary/js/graphs/,30,33
7c0bfc08f29b7124434aa5d2b749e5a4,4,plugins/openlibrary/js/dropper/Dropper.js,plugins/openlibrary/js/dropper/,91,118
b91b2d716bc694964982ba1952ad8313,4,plugins/openlibrary/js/check-ins/index.js,plugins/openlibrary/js/check-ins/,456,459
b91b2d716bc694964982ba1952ad8313,4,plugins/openlibrary/js/check-ins/index.js,plugins/openlibrary/js/check-ins/,33,37
3604d9b7af3396a1dcaee2fd32d07b72,4,plugins/openlibrary/js/graphs/plot.js,plugins/openlibrary/js/graphs/,153,156
3604d9b7af3396a1dcaee2fd32d07b72,4,plugins/openlibrary/js/graphs/plot.js,plugins/openlibrary/js/graphs/,47,50
c7ea389939c4caf55782cd0f3b7a4f1d,4,plugins/openlibrary/js/SearchBar.js,plugins/openlibrary/js/,40,43
c7ea389939c4caf55782cd0f3b7a4f1d,4,plugins/openlibrary/js/SearchBar.js,plugins/openlibrary/js/,29,32
75842e0b37a5ea6ec658c1e0fac0a909,4,plugins/openlibrary/js/graphs/index.js,plugins/openlibrary/js/graphs/,18,21
75842e0b37a5ea6ec658c1e0fac0a909,4,plugins/openlibrary/js/graphs/index.js,plugins/openlibrary/js/graphs/,17,20
b52cadc0ef753925a0f2e2e5cb003857,4,plugins/openlibrary/js/my-books/MyBooksDropper/ReadingLogForms.js,plugins/openlibrary/js/my-books/MyBooksDropper/,11,14
b52cadc0ef753925a0f2e2e5cb003857,4,plugins/openlibrary/js/merge-request-table/MergeRequestService.js,plugins/openlibrary/js/merge-request-table/,40,43
b52cadc0ef753925a0f2e2e5cb003857,4,plugins/openlibrary/js/check-ins/index.js,plugins/openlibrary/js/check-ins/,13,19
e272953dd4efe7917d639458d75db1f0,4,plugins/openlibrary/js/add_provider.js,plugins/openlibrary/js/,41,44
